id,label,tweet
1,0,"Interesting that @Macys criticized me but just paid $650,000 in fines for racial profiling. Are they racists?"
2,0,"Dishonest @politico just called to say that none of the polls including Fox, NBC, CNN, Zogby, & Morning Consult matter. Serious haters."
3,0,"Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM, so inappropriate!"
4,1,Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.…
5,0,"Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible, failed badly, and was called a racist!"
6,0,".@CNN is so negative it is impossible to watch. Terrible panel, angry haters. Bill O @oreillyfactor said such an amazing thing about me!"
7,0,"Goofy Elizabeth Warren, sometimes referred to as Pocahontas, pretended to be a Native American in order to advance her career. Very racist!"
8,1,Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!
9,0,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.
10,0,The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!
11,0,"The failing @nytimes hates the fact that I have developed a great relationship with World leaders like Xi Jinping, President of China....."
12,1," Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)..."
13,0,"Wow! Big Trump Hater Congressman Joe Crowley, who many expected was going to take Nancy Pelosi’s place, just LOST his primary election. In other words, he’s out! That is a big one that nobody saw happening. Perhaps he should have been nicer, and more respectful, to his President!"
14,0,"How can the Rigged Witch Hunt proceed when it was started, influenced and worked on, for an extended period of time, by former FBI Agent/Lover Peter Strzok? Read his hate filled and totally biased Emails and the answer is clear!"
15,0,"Wow, @foxandfriends is blowing away the competition in the morning ratings. Morning Joe is a dead show with very few people watching and sadly, Fake News CNN is also doing poorly. Too much hate and inaccurately reported stories - too predictable!"
16,0,Even Trump Haters like (MS)NBC acknowledge you ‘BUILD A WALL & CRIME WILL FALL!’ https://t.co/bKIgmHUW5P
17,0,"Be nice if Spike Lee could read his notes, or better yet not have to use notes at all, when doing his racist hit on your President, who has done more for African Americans (Criminal Justice Reform, Lowest Unemployment numbers in History, Tax Cuts,etc.) than almost any other Pres!"
18,0,"Looks like Bob Mueller’s team of 13 Trump Haters & Angry Democrats are illegally leaking information to the press while the Fake News Media make up their own stories with or without sources - sources no longer matter to our corrupt & dishonest Mainstream Media, they are a Joke!"
19,0,"The Mueller Report, which was written by 18 Angry Democrats who also happen to be Trump Haters (and Clinton Supporters), should have focused on the people who SPIED on my 2016 Campaign, and others who fabricated the whole Russia Hoax. That is, never forget, the crime....."
20,0,"Wow! FBI made 11 payments to Fake Dossier’s discredited author, Trump hater Christopher Steele. @OANN @JudicialWatch The Witch Hunt has been a total fraud on your President and the American people! It was brought to you by Dirty Cops, Crooked Hillary and the DNC."
21,1,The #MarchForLife is so important. To all of you marching --- you have my full support!
22,1," Mexico has taken advantage of the U.S. for long enough. Massive trade deficits & little help on the very weak border must change, NOW!"
23,1," Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 03,000,000 votes were illegal. We must do better!"
24,0,Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! https://t.co/MtPvaDC4jM
25,0,Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy!
26,0,"The Mueller Report, despite being written by Angry Democrats and Trump Haters, and with unlimited money behind it ($35,000,000), didn’t lay a glove on me. I DID NOTHING WRONG. If the partisan Dems ever tried to Impeach, I would first head to the U.S. Supreme Court. Not only......"
27,1,I will be making my Supreme Court pick on Thursday of next week.Thank you!
28,1," even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!"
29,1," I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and...."
30,1," Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!"
31,1," If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!"
32,1," Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views."
33,1," Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!"
34,0,For two years all the Democrats talked about was the Mueller Report because they knew that it was loaded up with 13 Angry Democrat Trump Haters later increased to 18. But despite the bias when the Report came out the findings were No Collusion and facts that led to........
35,0,.....Comcast (NBC/MSNBC) Trump haters who do whatever Brian & Steve tell them to do. Like CNN NBC is also way down in the ratings. But @FoxNews who failed in getting the very BORING Dem debates is now loading up with Democrats & even using Fake unsourced @nytimes as....
36,0,.....Comcast (NBC/MSNBC) Trump haters who do whatever Brian & Steve tell them to do. Like CNN NBC is also way down in the ratings. But @FoxNews who failed in getting the very BORING Dem debates is now loading up with Democrats & even using Fake unsourced @nytimes as....
37,1,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!
38,1,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8
39,1,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off… https://t.co/aOxmfO0vOK
40,1," Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! https://t.co/OXdiLOkGsZ"
41,1,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN_x1f1fa__x1f1f8_ https://t.co/V3aoj9RUh4"
42,0,.....Comcast (NBC/MSNBC) Trump haters who do whatever Brian & Steve tell them to do. Like CNN NBC is also way down in the ratings. But @FoxNews who failed in getting the very BORING Dem debates is now loading up with Democrats & even using Fake unsourced @nytimes as....
43,0,If Democrats want to unite around the foul language & racist hatred spewed from the mouths and actions of these very unpopular & unrepresentative Congresswomen it will be interesting to see how it plays out. I can tell you that they have made Israel feel abandoned by the U.S.
44,0,....visible members of the House Democrats who are now wedded to this bitterness and hate. The Republican vote was 187-4. Wow! Also this was the first time since 1984 that the Speaker of the House was ruled Out of Order and broke the Rules of the House. Quite a day!
45,0,The “Squad” is a very Racist group of troublemakers who are young inexperienced and not very smart. They are pulling the once great Democrat Party far left and were against humanitarian aid at the Border...And are now against ICE and Homeland Security. So bad for our Country!
46,0,I have known Al for 25 years. Went to fights with him & Don King always got along well. He “loved Trump!” He would ask me for favors often. Al is a con man a troublemaker always looking for a score. Just doing his thing. Must have intimidated Comcast/NBC. Hates Whites & Cops! https://t.co/ZwPZa0FWfN
47,1," Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views."
48,1," Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!"
49,0,Liberal Hollywood is Racist at the highest level and with great Anger and Hate! They like to call themselves “Elite” but they are not Elite. In fact it is often the people that they so strongly oppose that are actually the Elite. The movie coming out is made in order....
50,0,....to inflame and cause chaos. They create their own violence and then try to blame others. They are the true Racists and are very bad for our Country!
51,0,"....said what she did, even being on a much higher rated show, she would have been thrown off television. Will Fake News NBC allow a McCarthy style Racist to continue? ABC fired Roseanne. Watch the double standard!"
52,0,"Don’t get why @FoxNews puts losers on like @RepSwalwell (who got ZERO as presidential candidate before quitting), Pramila Jayapal, David Cicilline and others who are Radical Left Haters? The Dems wouldn’t let @FoxNews get near their bad ratings debates, yet Fox panders. Pathetic!"
53,0,"Don’t get why @FoxNews puts losers on like @RepSwalwell (who got ZERO as presidential candidate before quitting), Pramila Jayapal, David Cicilline and others who are Radical Left Haters? The Dems wouldn’t let @FoxNews get near their bad ratings debates, yet Fox panders. Pathetic!"
54,0,"Don’t get why @FoxNews puts losers on like @RepSwalwell (who got ZERO as presidential candidate before quitting), Pramila Jayapal, David Cicilline and others who are Radical Left Haters? The Dems wouldn’t let @FoxNews get near their bad ratings debates, yet Fox panders. Pathetic!"
55,0,"....horrible BLM chant, “Pigs In A Blanket, Fry ‘Em Like Bacon”. Maybe our GREAT Police, who have been neutralized and scorned by a mayor who hates & disrespects them, won’t let this symbol of hate be affixed to New York’s greatest street. Spend this money fighting crime instead!"
56,0,"Now @FoxNews is putting on yet another loser, Jamie Weinstein, into their stable of Trump haters. People who failed for many years are now going on Fox to explain “Trump”. Schumer puppet Chris Hahn and his twin brother, Richard Goodstein, together with cheater Donna Brazil. Bad!"
57,0,"The Democrat Trump Hater Secretary of State of Michigan, purposely misprinted Ballots for the Military, putting the wrong names on the Ballot, and actually listing a member of another party as a replacement for Vice President @Mike_Pence. Everybody is totally confused by their..."
